city,date,average temperature,min temperature,max temperature,humidity,pressure,wind speed,description
Antananarivo,2025-07-05,12.295,9.76,12.57,88.0,1024.5,2.05,scattered clouds
Nairobi,2025-07-05,18.03,15.54,19.02,76.0,1017.5,2.605,overcast clouds
New York,2025-07-05,28.05,27.8,28.68,45.0,1020.5,5.335,few clouds
Paris,2025-07-05,22.995,17.74,25.25,36.5,1017.5,3.85,broken clouds
Sydney,2025-07-05,10.815,9.21,11.47,83.0,1019.5,2.07,overcast clouds
Tokyo,2025-07-05,27.87,26.98,27.93,77.0,1004.0,1.815,light rain
Antananarivo,2025-07-06,13.33125,7.42,20.64,73.75,1023.125,2.5874999999999995,broken clouds
Nairobi,2025-07-06,17.151249999999997,14.73,21.32,77.25,1017.5,2.085,overcast clouds
New York,2025-07-06,25.86375,20.8,31.71,53.5,1017.75,5.055,overcast clouds
Paris,2025-07-06,16.99625,14.4,19.44,74.125,1010.875,3.3725,overcast clouds
Sydney,2025-07-06,14.418749999999998,10.59,19.46,73.125,1015.125,4.36,clear sky
Tokyo,2025-07-06,30.027500000000003,27.55,33.1,60.875,1003.375,3.23125,overcast clouds
Antananarivo,2025-07-07,15.24625,11.71,21.65,73.625,1022.25,2.30375,broken clouds
Nairobi,2025-07-07,17.12,13.64,20.94,79.125,1017.625,1.8575,overcast clouds
New York,2025-07-07,27.992500000000007,23.82,32.7,66.375,1015.625,4.58375,light rain
Paris,2025-07-07,16.7375,14.01,19.4,69.875,1010.25,3.827500000000001,light rain
Sydney,2025-07-07,12.64,8.7,17.19,66.375,1015.0,4.405,clear sky
Tokyo,2025-07-07,29.685,26.78,33.27,60.375,1005.25,3.42375,clear sky
Antananarivo,2025-07-08,14.15,8.59,21.31,69.875,1024.5,3.40875,clear sky
Nairobi,2025-07-08,16.22375,14.77,18.51,82.875,1019.0,2.03625,overcast clouds
New York,2025-07-08,27.96,24.53,31.06,73.875,1016.0,4.38625,light rain
Paris,2025-07-08,18.79625,14.72,23.36,49.875,1017.5,3.0912500000000005,broken clouds
Sydney,2025-07-08,14.186249999999998,11.68,16.62,54.5,1008.5,5.33125,overcast clouds
Tokyo,2025-07-08,28.79625,26.52,31.93,65.625,1008.25,4.628750000000001,scattered clouds
Antananarivo,2025-07-09,14.2475,11.46,20.06,74.375,1024.875,4.202500000000001,broken clouds
Nairobi,2025-07-09,16.417499999999997,13.47,20.2,68.625,1019.5,1.9375,overcast clouds
New York,2025-07-09,26.450000000000003,24.06,30.78,77.75,1014.5,2.2225,light rain
Paris,2025-07-09,21.02125,14.95,26.4,44.75,1022.5,1.60875,clear sky
Sydney,2025-07-09,13.63625,9.43,18.58,54.875,1009.0,4.016249999999999,broken clouds
Tokyo,2025-07-09,28.703750000000007,26.18,32.31,68.5,1010.625,4.7325,clear sky
Antananarivo,2025-07-10,13.464999999999998,11.02,17.56,83.0,1025.0,4.565,broken clouds
Nairobi,2025-07-10,16.413333333333334,14.51,20.26,63.833333333333336,1019.1666666666666,1.998333333333333,overcast clouds
New York,2025-07-10,23.996666666666663,23.1,25.71,90.16666666666669,1012.8333333333334,2.818333333333333,moderate rain
Paris,2025-07-10,22.80333333333333,17.5,29.9,38.833333333333336,1022.3333333333334,2.276666666666667,clear sky
Sydney,2025-07-10,12.98,9.54,17.21,55.66666666666666,1008.6666666666666,5.56,scattered clouds
Tokyo,2025-07-10,29.63166666666667,26.61,32.22,61.333333333333336,1011.0,3.961666666666666,broken clouds
